Name,Date,Location,Type,Region,Latitude,Longitude
Sound Check! The Music We Make,2024-09-14,Wing Luke Museum,Museums,International District,47.5982461,-122.3228705
Raul de Nieves,2024-09-30,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636
Frye Salon,2024-10-27,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555
On Native Land: Landscapes from the Haub Family Collection,2024-11-17,Tacoma Art Museum,Museums,South,47.6191101,-122.33653138239433
Washi Transformed New Expressions in Japanese Paper,2026-04-26,Bellevue Arts Museum,Museums,Bellevue / Eastside,,
Explore The Market,Ongoing,Pike Place Market,Festivals & Special Events,Downtown,47.60939675,-122.34141017673986
Olympic Sculpture Park,Ongoing,Olympic Sculpture Park,Visual Arts & Galleries,Downtown,47.6162378,-122.35431328817567
Infinite Worlds of Science Fiction,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
John Grade: Middle Fork,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
Scared to Death: The Thrill of Horror Film,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
Nirvana: Taking Punk To the Masses,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
Vietnam Divided: War Above Southeast Asia,Ongoing,The Museum of Flight,Museums,South Seattle,47.5614876,-122.312903
Science Fiction and Fantasy Hall of Fame,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing,Wing Luke Museum,Museums,International District,47.5982461,-122.3228705
Honoring Our Journey,Ongoing,Wing Luke Museum,Museums,International District,47.5982461,-122.3228705
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing,Museum of Glass,Museums,South,47.6191101,-122.33653138239433
Great Hall of Washington History,Ongoing,Washington State History Museum,Museums,South,47.6605211,-122.31156049949824
Humboldt Penguin Exhibit,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,47.669143399999996,-122.35096188536495
Giant Pacific Octopus,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
Meet our Marine Mammals,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
Window on Washington Waters,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
Guitar Gallery,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
Nordic Journeys,Ongoing,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151
Baird’s beaked whale,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
Amazing Life,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
Culture is Living,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
Fossils Uncovered,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
Northwest Native Art,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
Our Material World,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824
Apollo,Ongoing,The Museum of Flight,Museums,South Seattle,47.5614876,-122.312903
Art and Life Along the Northwest Coast,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
Washington: My Home,Ongoing,Washington State History Museum,Museums,South,47.6605211,-122.31156049949824
Sensory-Friendly Programs,Ongoing,MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
Dale Chihuly at Tacoma Art Museum,Ongoing,Tacoma Art Museum,Museums,South,47.6191101,-122.33653138239433
Be/longing: Contemporary Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062
Porcelain Room,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
Life on the Edge,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
Tropical Pacific,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
Underwater Dome,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866
Meet the Animals,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,47.669143399999996,-122.35096188536495
Chihuly Garden and Glass,Ongoing,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,47.6205296,-122.35020712496446
Discover Ancient Coast Salish Culture,Ongoing,Hibulb Cultural Center,Museums,North,47.6318441,-122.3510539
Savor Seattle Signature Tour: Pike Place Market,Ongoing,Pike Place Market,Tours & Attractions,Downtown,47.60939675,-122.34141017673986
Untold Stories: World War II at 75,Ongoing,The Museum of Flight,Museums,South Seattle,47.5614876,-122.312903
Bezos Center for Innovation,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506
Maritime Seattle,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506
True Northwest: The Seattle Journey,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing,Tacoma Art Museum,Museums,South,47.6191101,-122.33653138239433
Winter in the West,Ongoing,Tacoma Art Museum,Museums,South,47.6191101,-122.33653138239433
Ballard Farmers Market – Sunday,Ongoing,Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,,
Capitol Hill Farmers Market – Sunday,Ongoing,Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,47.618892450000004,-122.32016705491071
University District Farmers Market,Ongoing,University District Farmers Market,Festivals & Special Events,University District,47.6612984,-122.3131523
Fremont Sunday Market,Ongoing,Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,,
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing,Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,47.6205296,-122.35020712496446
Boundless: Stories of Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062
Kenzan Tsutakawa-Chinn: Gather,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062
Art Walk Edmonds | Every Third Thursday,Ongoing,Cascadia Art Museum,Visual Arts & Galleries,North,47.6318441,-122.3510539
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619
Show Me Seattle Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,47.6191101,-122.33653138239433
LeMay – America’s Car Museum,Ongoing,LeMay - America's Car Museum,Museums,South,47.6191101,-122.33653138239433
History Link Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,47.6191101,-122.33653138239433
West Seattle Farmers Market – Sundays,Ongoing,West Seattle Farmers Market,Festivals & Special Events,West Seattle,47.5620654,-122.3869194
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing,Washington State History Museum,Museums,South,47.6605211,-122.31156049949824
Pioneer Square First Thursday Art Walk,Ongoing,Pioneer Square,Visual Arts & Galleries,Pioneer Square,47.6027217,-122.3313539
Deities and Demons: Supernatural in Japanese Art,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
American Art: The Stories We Carry,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
Pacific Species,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
Reverberations: Contemporary Art and Modern Classics,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575
75 Years of Porsche,Ongoing,LeMay - America's Car Museum,Museums,South,47.6191101,-122.33653138239433
Manazma Sheen,Ongoing,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319
